tweet,label
Dukung program vaksinasi nasional untuk mempercepat tercapainya herd immunity #VaksinasiNasional,1
3 langkah persiapan Vaksinasi Covid-19 #VaksinasiNasional #VaksinUntukIndonesia,1
Sinergi Indonesia Kuat #VaksinasiNasional #vaksinuntuksemuabangsa,1
Vaksinasi Covid 19 untuk Masyarakat #VaksinasiNasional @jokowi @halimiskandarnu,1
#Ritam98 🇮🇩 Tentang #Vaksinasi #Vaksin #Covid19 #VaksinasiNasional di #Indonesia  RT @cnbcindonesia: Saat DPR Tuding BPOM Main Politik Gara-gara Vaksin Terawan,0
stop corona dari sekarang! patuhi prokes dukung program vaksin #VaksinasiNasional #TetapDirumahAja #Vaksinasi #mutasibaru #Waspada Jangan Mudik,1
Belum Semua Guru Disuntik Vaksin Jelang Uji Coba PTM Purbalingga #VaksinasiNasional #guru #infopurbalingga #purbalingga @lensapurbaling1 @infopurbalingga @banteng_pbg @Bupati_PBG @LensPurbalingga @ZONAPurbalingga @PbgTeropong @purballingga @Relasi_PBG,0
Vaksin Sinovac terbukti efektif menurut para ahli di Australia #VaksinasiNasional #vaksinsuksesakhiripandemi #vaksindemipulihkannkri,1
Hari ini (18/3) Festival Smart Vaksinasi dihadiri langsung bapak Presiden RI @jokowi ..event ini adalah penanda awal dimulainya program smart vaksinasi di kota Makassar @DP_dannypomanto @DiskominfoMKS #VaksinasiNasional #makassarrevover,1
Mari patuhi protokol kesehatan dan jangan lupa terapkan 5 m #VaksinasiNasional,1
"Ada Kandungan Tripsin Babi, MUI Sebut Vaksin AstraZeneca Haram, tapi Boleh Dipakai Vaksinasi Corona  via @tribunkaltim #Babi #tripsinBabi #Enzim #MUI #Vaksin #vaksincovid19 #Haram #VaksinasiNasional #vaksinasiCorona",0
Pedang utk Petik Mangga ? #VaksinasiNasional RT @CNNIndonesia: Pengacara Rizieq Sebut Pedang di Mobil untuk Petik Mangga,0
WHO Apresiasi pemerintah Indonesia dalam penanganan pandemi corona melalui #VaksinasiNasional.,1
"Titer antibodi dan efektifitas merupakan dua acuan yang sangat berbeda. Lantangnya berpendapat di televisi nasional (tempat di mana hampir seluruh warga Indonesia mendapatkan informasi) tanpa pemahaman yang benar terhadap acuan ini, akan mengancam kesuksesan #VaksinasiNasional.",0
5 Ribu Pegawai KAI Ikuti Program Vaksinasi Bersama BUMN @KAI121 @keretaapikita #Vaksin #Vaksinasi #VaksinasiNasional #BUMN #Corona #coronavirus #COVID19 #COVIDー19 #COVID__19 #Covid_19 #COVID #RakyatMerdeka #RMid,1
"Pak Erick bikin sentra vaksinasi di senayan nih, buat lansia bisa daftarin kesana. #vaksinasinasional #BUMNuntuknegeri #IndonesiaKita",1
Regulator obat Uni Eropa (EMA) menemukan kemungkinan hubungan antara vaksin Covid-19 AstraZeneca dan kasus pembekuan darah setelah divaksin. #vaksincovid19 #VaksinasiNasional #COVID19 #berita #BeritaTerkini #TVRI #TVRINews,0
Punya Riwayat Diabetes Guru di Sulteng Meninggal Usai Vaksin #COVID19 #VaksinasiNasional,1
"Halo, SobatKom! Ada info terbaru mengenai update vaksinasi Covid-19, nih. Per Tanggal 18 April 2021, pukul 18.00, dari total sasaran vaksinasi Covid-19 berjumlah 181.554.465 penduduk Indonesia, terdapat 10.828.733 penduduk yang sudah melakukan vaksin tahap 1 #VaksinasiNasional",1
41% Masyarakat Menolak Keharaman Vaksin AstraZeneca. #VaksinasiNasional,0
Kru TV Kru Film Apakah tidak penting untuk didahulukan juga? #vaksinpulihkannegeri #VaksinasiNasional #VaksinMembawaDampakBaik #vaksincovid19,1
Tolong berlaku adil yer... kalau boleh semua nk vaksin awal.. tapi dah di bagi ikut golongan... kesian yg golongan kemudian ni.. @MuhyiddinYassin #DaruratMemerangiCOVID19 #VaksinasiNasional #COVID19Vaccination,0
"Sebanyak 3,852 juta dosis vaksin siap pakai AstraZeneca dari Covax Facility kembali tiba di Indonesia pada Senin, 26 April 2021. Kedatangan vaksin ini merupakan tahap kesembilan kedatangan vaksin sejak 6 Desember 2020 #COVID19 #Vaksin #VaksinasiNasional",1
"#Ritam98 🇮🇩 Tentang #Vaksinasi #Vaksin #Covid19 #VaksinasiNasional di #Indonesia  RT @korantempo: Pengembangan vaksin Nusantara tak melewati tahapan uji klinis. Tersulut sentimen nasionalisme, sejumlah politikus mendukung habis-habisan vaksin berbasis teknologi sel dendritik yang sebetulnya merupakan temuan ahli Amerika. #korantempodigital #KoranTempo",0
HEHEHEHE INILAH PENTINGNYA MEMILIKI IBU MEGAWATI SEBAGAI BACK UP LU🥰🥰🥰👊🏻👊🏻 #SalamBanteng #VaksinasiNasional RT @retikkulum: I HATE NEEMA ANJRITT PARIS HONGKONG 745 GUAAAAAAA SEKETIKA HILANG GARA GARA ZURICH,1
"Abaikan Prokes Usai Divaksin Kasus Covid-19 Bisa Meledak Kayak India, Memangnya Mau? #SatgasCovid19 #India #protokolkesehatan #Nasional #Vaksin #Vaksinasi #VaksinasiNasional #Corona #coronavirus #COVID19 #RakyatMerdeka #RMid",1
"Gubernur Papua Barat mengajak masyarakat untuk mendukung Program Vaksinasi Nasional, guna memutuskan rantai penyebaran Covid-19 menuju Papua Barat sehat dan bebas Covid-19. - - #indonesia #papuabarat #lawancovid19 #vaksinasinasional #dominggusmandacan #manokwari",1
Disiplin Protokol Kesehatan #VaksinasiNasional,1
"Vaksinasi Indonesia Pakai Produk Asing, Siti Fadilah Merasa Aneh! - #VaksinasiNasional @KemenkesRI @Fahrihamzah @muhammadiyah",0
"Jika pelaksanaan haji dibuka tahun ini oleh pemerintah Arab Saudi, semua calon haji wajib di vaksinasi #VaksinasiNasional #vaksinsuksesakhiripandemi",1
"BUMN bukin sentra vaksin, kalian dan orang tua kalian yg udah diatas 60 tahun bisa di vaksin disisni. #vaksinasinasional #BUMNuntuknegeri #IndonesiaKita",1
"9 Negara Eropa tunda penggunaan vaksin AstraZeneca bgmn dgn Indonesia Presiden @jokowi yg telah impor vaksin tsb ? #AstraZeneca #IndonesiaMaju #IndonesiaBebasCovid #VaksinasiNasional @DPR_RI @DPDRI @KemenkesRI @satgascovid19id @SatgasCovid19 @Yusrilihza_Mhd @OfficialDPP @RRI RT @business: Europe’s problems with the AstraZeneca Covid-19 vaccine deepens, with at least nine countries suspending it over safety concerns that Germany and France say are unfounded",1
"tekan kasus corona, BUMN bikin sentra vaksin keren sih. #vaksinasinasional #BUMNuntuknegeri",1
Pemerintah terus berupaya untuk mengembangkan dan melakukan pengadaan vaksin covid-19. #CegahCovid19 #Vaksin #VaksinasiNasional,1
Adapun penerima vaksin gotong royong di masa mendatang juga tidak dipungut biaya karena sudah ditanggung perusahaan-perusahaan yang akan turut serta. #VaksinasiNasional,1
Dengan vaksinasi maka tubuh kita akan membentuk imun untuk melindungi diri kita dari virus covid 19 #VaksinasiGotongRoyongPercepatPemulihanEkonomi #VaksinasiCovid19 #VaksinasiNasional #vaksingotongroyongpekerja,1
Pujian dari WHO untuk Indonesia dalam menangani Pandemi #NewNormal #VaksinasiNasional,1
Orang Dengan Komorbid Aman Divaksin Covid-19 #Vaksin #Vaksinasi #VaksinasiNasional #Nasional #SatgasCovid19 #ingatpesanibu #pakaimasker #jagajarak #cucitangan #Corona #coronavirus #COVID19 #COVIDー19 #COVID__19 #Covid_19 #COVID #RakyatMerdeka #RMid,1
"Aku sudah vaksin, kamu kapan? #VaksinCOVID19 #VaksinasiNasional #VaksinUntukSemuaBangsa",1
"Vaksinasi tembus 10juta, Indonesia masuk 4 besar #VaksinasiNasional #vaksinsuksesakhiripandemi #vaksindemipulihkannkri",1
"Program vaksinasi di Indonesia sukses, WHO apresiasi pemerintah Indonesia. #VaksinasiNasional",1
"76.910 Dosis Vaksin Gotong Royong Telah Didistribusikan Vaksinasi Dan Prokes Jalan, Airlangga Pede Ekonomi RI Bisa Rebound Tahun Ini #Vaksin #vaksincovid19 #vaksinasi #VaksinasiNasional #RakyatMerdeka #RMid",0
Menkes tegaskan vaksinasi secara mandiri tidak akan mengganggu proses #VaksinasiNasional,1
Ikhtiar Presiden Jokowi untuk tetap memberlakukan hukum yang adil dan tidak tebang pilih #Jokowi #VaksinasiNasional,1
Dampak positif vaksin COVID-19 #vaksin #VaksinasiNasional #newnormal,1
Hukum Suntik Vaksin COVID-19 Ketika Puasa  #Puasa #VaksinasiNasional #Covid19,1
"Sebanyak lebih dari 12,5 juta dosis #VaksinasiNasional telah disuntikan kepada masyarakat Indonesia.",1
jeratan pasal rizieq shihab beserta nax buahnya krena pelanggran karantina ksehatan #IndonesiaMaju #VaksinasiNasional,0
[Bahasa] Masih ingat kasus #Vaksin Palsu 2016? #Vaksinasi #VaksinasiNasional,0
#Ritam98 🇮🇩 Tentang #Vaksinasi #Vaksin #Covid19 #VaksinasiNasional di #Indonesia  RT @VIVAcoid: [VIDEO] Siti Fadilah Buka Suara Soal Vaksin Nusantara  #vlix,1
"ASTRAZeneca Distop di Kanada, Wanita Muda Terbanyak Kena Dampak Buruk seusai Divaksin, Darah Membeku  SELUSIN NEGARA EROPA DAN KANADA STOP VAKSIN ASTRAZENECA #AstraZeneca #kanada #VaksinCOVID19 #VaksinasiNasional",0
Mari Kita Dukung Vaksinasi Nasional #VaksinasiNasional,1
Ayo dukung program vaksinasi untuk mempercepat penanganan Covid-19 #VaksinasiNasional,1
Prioritas Vaksin Gotong Royong Akan Ditentukan Berdasarkan Zonasi. #VaksinasiNasional,1
"Gotong Royong Sukseskan Program Vaksinasi Massal Pemerintah Sektor pariwisata Bali bersama Pemda kolaborasi sukseskan program vaksinasi massal secara gratis pada masyarakat, khususnya pelaku usaha pariwisata. Saya Siaaap Divaksin agar Indonesia Bebas Covid-19 #VaksinasiNasional",1
"kita tidak pernah tahu dimana saja lokasi covid, oleh karenanya mari kita dukung dan ikut program vaksinasi untuk Indonesia yang lebih sehat! #VaksinasiNasional #TetapDirumahAja #Vaksinasi #mutasibaru #Waspada Jangan Mudik",1
Siapa yang kemaren koar koar kalo di India Covid melonjak Ni baca Presidennya Lewat Kominfo Mengumumkan Kalo Kalo Itu Semua Hoax #COVID19 #Covid #Vaksin #vaksincovid #VaksinasiCovid19 #VaksinasiNasional,0
"""MUI Keluarkan Fatwa bahwa Vaksinasi Tak Batalkan Puasa"" Wakil Presiden KH. Ma'ruf Amin memastikan kembali vaksinasi Covid-19 yang dilaksanakan bulan Ramadhan tidak akan membatalkan puasa. Saya Siaaap Divaksin! Indonesia Bebas Covid-19.. Aamiin #VaksinasiNasional",1
#Ritam98 🇮🇩 Tentang #Vaksinasi #Vaksin #Covid19 #VaksinasiNasional di #Indonesia  RT @OposisiCerdas: Wakil Ketua Komisi IX: BPOM Telah Bohongi Publik,0
Pelaksanaan vaksinasi perlu dipercepat guna memutus mata rantai penularan covid 19 #VaksinasiNasional,1
"LPBI NU Nganjuk berpartisipasi pada kegiatan vaksinasi warga NU Nganjuk di Kantor PCNU Kabupaten Nganjuk, 18/03/2021. #NUPeduliCOVID19 #TetapWaspadaCorona #PakaiMasker #VaksinasiNasional",1
Kemenkes Pastikan Vaksinasi Covid-19 Tetap Dilaksanakan Saat Ramadhan  via @holopiscom @KemenkesRI #VaksinasiNasional #vaksinuntukpulihkanri #holopiscom,1
"Selama Ramadan, Vaksinasi Jalan Terus  #Ramadan #VaksinasiNasional #Sinovac #mojokerto",1
"#Ritam98 🇮🇩 Tentang #Vaksinasi #Vaksin #Covid19 #VaksinasiNasional di #Indonesia  RT @RadioElshinta: Sebanyak 6juta lebih vaksin Sinovac dari 3 Container RAP (besar) & 1 Container RKN (kecil) asal Cina yg Tiba di Bandara Soekarno-Hatta, Tangerang, Banten, telah bersiap diberangkatkan menuju ke Bandung dalam Pengawalan Petugas Gabungan TNI Polri, Minggu (18/4) Siang. (Mum)",0
"#Ritam98 🇮🇩 Tentang #Vaksinasi #Vaksin #Covid19 #VaksinasiNasional di #Indonesia  RT @ariefnoviandi_: Penelitian vaksin wajib menggunakan prosedur dan kaidah2 ilmiah, bukan klaim tanpa dasar ilmiah. Stop politisasi vaksin nusantara #DukungBPOM",0
Top News Koran Rakyat Merdeka Vaksinasi Covid Sejuta Sehari Masih Mimpi @jokowi #vaksin #Vaksinasi #VaksinasiNasional #Corona #coronavirus #COVID19 #COVIDー19 #COVID__19 #Covid_19 #COVID #Nasional #RakyatMerdeka #RMid,0
#VaksinasiNasional harus dipercepat dan diperluas bila Pak Nadiem ingin sekolah tatap muka mulai Juli 2021 @Kemdikbud_RI Pak @erickthohir Pak @jokowi @kurawa @KemenkesRI #VaksinasiCovid19 RT @collegemenfess: kalian tim pak fadli zon atau tim pak nadiem nih? [cm],0
Ribuan Tenaga Pendidik di Magetan Terima Vaksin Covid-19 #BeriaMagetan #VaksinasiNasional #VaksinCovid19 #TenagaPendidik,1
Pandemi virus Corona dibawa oleh manusia Oleh karena itu pergerakan manusia dalam jumlah besar seperti mudik berpotensi menambah penyebaran virus Ayo lawan covid-19 protokol kesehatan #vaksinasinasional,1
#Ritam98 🇮🇩 Tentang #Vaksinasi #Vaksin #Covid19 #VaksinasiNasional di #Indonesia  RT @kostumkomik:,1
"Top News Koran Rakyat Merdeka Dukung Vaksin Terawan Ical Cs, Dengerin Kata BPOM Ya..! @DPR_RI @BPOM_RI #Vaksin #VaksinNusantara #terawan #Vaksinasi #VaksinasiNasional #DPR #BPOM #GovernmentAction #Corona #coronavirus #COVID19 #RakyatMerdeka #RMid",1
Mendagri : Program Vaksin Diharapkan Dapat Pulihkan Ekonomi Wisata di Bali #AyoVaksin #VaksinasiNasional,1
keren sih ini udah ada ribuan lansia yg di vaksinasi di sentra vaksin. #vaksinasinasional #BUMNuntuknegeri #IndonesiaKita,1
"Sempat Beredar Isu Vaksin Palsu, Polri Siap Dukung Satgas Covid-19 #VaksinDemiPulihkanRI #VaksinasiNasional #VaksinUntukKita #VaksinCOVID19 #vaksinuntukrakyatindonesia",0
Vaksin dibutuhkan untuk membentuk antibodi agar tubuh bisa melawan virus yang masuk. #Vaksin #VaksinCorona #VaksinasiCovid19 #VaksinasiNasional #VaksinUntukSemua #antibodi #virus #lampostco,1
"Vaksin sudah siap untuk rakyat Indonesia, mari kita awasi dan kita dukung program vaksinasi untuk indonesia sehat yah! #VaksinasiNasional #TetapDirumahAja #Vaksinasi #mutasibaru #Waspada Jangan Mudik",1
Jaga orang tua kita dari sebaran virus dg Vaksinasi Covid-19 #VaksinasiNasional,1
Presiden Jokowi tegas menolak untuk diberlakukannya 3 periode masa jabatan karena bertentangan dengan konstitusi #Jokowi #VaksinasiNasional,1
"Vaksin AstraZeneca tidak direkomendasikan oleh BPOM selama masih proses kajian, disusul terkait adanya Isyu keamanan pada vaksin tersebut yang akhirnya ditangguhkan di 15 negara. Demikian yang disampaikan oleh kepala BPOM, Penny Lukito. . #VaksinasiNasional",0
"Buah Kerjasama Multilateral Indonesia 1,1 Juta Dosis Vaksin AstraZeneca Tiba Di Tanah Air Pemerintah kembali mendatangkan vaksin COVID-19 untuk keperluan pelaksanaan vaksinasi bagi masyarakat Indonesia. #VaksinasiNasional #VaksinPulihkanNKRI",1
Info #VaksinasiCovid19 di #Indonesia  #VaksinasiNasional #Vaksinasi #vaksinasiberdampakbaik #vaksinasinyamanbumn #vaksinasiwartawan #Vaksin #VaksinasiNasional #vaksinuntukkita #vaksincovid19 #vaksinuntukrakyatindonesia #vaksinpulihkannegeri #Sinovac,1
Dukung Vaksinasi Ptoyokol Kesehatan Untuk Mempercepat Penanganan Covid-19 Dan Pemulihan Ekonomi Nasional #VaksinasiNasional #likeforlikes,1
Jangan lupa ikut gerakan Vaksinasi Covid-19 #VaksinasiNasional,1
Yuk sukseskan program vaksinasi nasional. #Vaksin #Vaksinasi #VaksinasiNasional #LawanCovid-19,1
"Jaga diri, Jaga keluarga dengan Vaksin Covid-19 #VaksinasiNasional",1
Disiplin protokol kesehatan menjadi kunci percepatan penanggulangan Covid-19. #VaksinDemiPulihkanRI #VaksinasiNasional,1
Apa itu vaksin?  #VaksinasiNasional #vaksinuntukkita #vaksinasi #Vaksin #VaksinCovid19 #virus #Corona #CoronavirusIndia #COVID19 #Covid_19 #CovidVaccine #COVID19AB #sehat #pandemic #daring #Online #OnlineClasses #puasa #Ramadan2021 #ramadanmubarak #Jakarta,1
Petugas Bandara Soekarno-Hatta Jalani Vaksinasi Anti Covid-19 -  #VaksinasiNasional #SOETTA @AngkasaPura_2,1
"Lansia membutuhkan waktu yang lebih lama untuk membentuk anti body dibanding usia produktif, itu sebabnya lansia perlu rentang waktu 28 hari untuk vaksinasi dosis kedua. @jokowi @KemenkesRI @KemenBUMN . #VaksinasiNasional",1
#Ritam98 🇮🇩 Tentang #Vaksinasi #Vaksin #Covid19 #VaksinasiNasional di #Indonesia  RT @Bisniscom: Vaksin Merah Putih vs Vaksin Nusantara: Saat Kepala BPOM Terharu,0
Pandemi virus Corona dibawa oleh manusia Oleh karena itu pergerakan manusia dalam jumlah besar seperti mudik berpotensi menambah penyebaran virus Ayo lawan covid-19 protokol kesehatan #vaksinasinasional,1
Akal-akalan HRS minta dihadirkan langsung ke persidangan demi pengumpulan pengikutnya di masa pandemi di PN Jaktim #Jokowi #VaksinasiNasional,0
"akhirnya kolaborasi BUMN, Pemda DKI dan Kemenkes bisa percepat vaksinasi. #vaksinasinasional #BUMNuntuknegeri",1
"Di mana-"" pada ribut vaksin ke dua, lah gue yg pertama saja belum.. 🤔🤔 #VaksinasiNasional",0
"Supaya badan menerima vaksin yang baik, persiapan menjaga imun tubuh saat sebelum dan sesudah vaksinasi covid-19 ada baiknya dilakukan. @KemenkesRI @BPOM_RI #VaksinasiNasional #VaksinSuksesAkhiriPandemi",1
#SaptaSelectNews Konsumsi Oksigen #Indonesia vs Cakupan #VaksinasiNasional (Feb-Mei 2021) Benarkah Indonesia sudah di zona aman untuk pasokan Oksigen medis? @iaridlo @lantip @hendratno64 Sumber: [1] [Graph] [2],0
"Saya Ravel, dan saya mendukung program vaksinasi nasional serta sudah vaksinasi lengkap covid19, #VaksinasiNasional #AmanDanHalal",1
Tenaga Ahli Kominfo Donny Budi Utoyo mengatakan pihaknya berupaya memberantas penyebaranm hoaks terkait program vaksinasi Covid-19. Baca selengkapnya di  #Covid19 #Hoax #Kominfo #VaksinasiNasional,1
Abdi Dalem Keraton Yogyakarta Mulai Divaksin Covid-19  via @holopiscom @YogyakartaCity #VaksinasiNasional #Yogyakarta #holopiscom,1
"yesshhh nyokap gue yg udah 63thn bisa di vaksin nih, thanks BUMN udah bikin sentra vaksin. #vaksinasinasional #BUMNuntuknegeri",1
Jusuf Kalla: Vaksin Mandiri Membantu Mempercepat Program Vaksinasi Covid-19 #VaksinasiNasional,1
Vaksinasi kedua ✅ #VaksinasiNasional #COVID19,1
Dokter Spesialis Penyakit Dalam/Vaksinolog ⁦@dirgarambe⁩ : Orang2 yg divaksinasi memiliki risiko 3 kali lebih rendah mengalami Covid-19 dibandingkan dgn orang2 yg tidak divaksinasi... #VaksinasiNasional 💉 #DisiplinProkes 😷,1
Jangan ragu dengan vaksin covid -19 #vaksinasinasional,1
Vaksin tda ada efek samping #VaksinasiNasional #vaksinuntukkita,0
Dah di vaksin tp positif covid. ITU GIMANA YA? SERIUS TANYA #VaksinasiNasional #vaksinpulihkanbangsa #Vaksin,0
"covid hilang negara kembali tumbuh ekonominya seperti dulu, mari kita dukung program vaksinasiTetap Waspada #VaksinasiNasional #TetapDirumahAja #Vaksinasi #mutasibaru #Waspada Jangan Mudik",1
Program Vaksinasi Covid-19 di Kabupaten Bekasi Tetap Berjalan Selama Bulan Suci Ramadan 1442 H/2021  #VaksinasiNasional #VaksinasiCovid19 #vaksinuntukkita #vaksinasi #Vaksin #vaksinasiCovid19KabupatenBekasi #VaksinUntukIndonesia #KabupatenBekasi #bekasi,1
"harus banget nih sentra vaksin di perluas ke semua daerah selain jakarta, tolong yuk BMUN dibuat lg di tempat lain. #vaksinasinasional #BUMNuntuknegeri #IndonesiaKita",1
"Kadiskes Bandar Lampung, Edwin Rusli, menyampaikan, pihaknya belum menerima data guru SMA sederajat untuk divaksin. #Vaksin #VaksinasiNasional #guru",0
"Dengan Vaksin, indonesia diharapkan bisa pulih kembali terutama dari ancaman Covid B117 yang cepat menyebarTetap Waspada #VaksinasiNasional #TetapDirumahAja #Vaksinasi #mutasibaru #Waspada Jangan Mudik",1
Vaksinasi Gotong Royong yang biayanya ditanggung perusahaan tanpa pemotongan gaji karyawan penerima vaksin. #COVID19Vaccine #coronavirus #VaksinasiNasional #VaksinGotongRoyongPekerja,1
Alhamdulillah berjaya daftar tapi pelik x leh pilih masa. Lepas ada note semua slot sudah penuh. Skrg confused Dah berjaya daftar or masuk dlm senarai menunggu?? Jauhhhhhh nak kena p SPICE arena #vaksin #VaksinasiNasional,0
"""Ada penurunan kasus aktif setelah vaksinasi. Tidak hanya di Kota Tegal, tapi di Indonesia juga turun angkanya,"" kata Kepala Dinas Kesehatan Kota Tegal Sri Primawati Indraswari, Senin (15/2). #VaksinasiNasional #dinaskesehatan #kotategal",1
Jangan berfikir sempit tentang impor beras kalau be;um memahami sebenarnya kondisi di lapangan #Jokowi #VaksinasiNasional Translate Tweet,0
"Begini Respon Mantan Menteri BUMN, Usai Disuntik Vaksin Nusantara  @KemenkesRI @BPOM_RI @jokowi #Vaksin #VaksinasiNasional #vaksinuntukkita #vaksinnusantara",1
presiden mengingatkan kegiatan vaksinasi tetap berjalan di daerah-daerah #vaksinuntuksemua #vaksinuntuklansia #VaksinasiPelayanPublik #covid19 #vaksinhalal #vaksin #vaksinasinasional,1
"Divonis Mati BPOM, Vaksin Nusantara Jalan Terus, Puluhan Antre termasuk Eks Menteri Sudi Silalahi #VaksinNusantara #BPOMVonisMatiVaksinNusantara #bpom #terawan #sudisilalahi #VaksinasiNasional",0
#Ritam98 🇮🇩 Tentang #Vaksinasi #Vaksin #Covid19 #VaksinasiNasional di #Indonesia  RT @NOTASLIMBOY: Ini cocok dikasih nama vaksin mandiri. Izin dari BPOM pun aprove aja mandiri.,0
"Alhamdulillah,tenaga didik siap untuk pembelajaran tatap muka #Vaksinasi #VaksinasiNasional",1
Diplomasi vaksin akan terus diupayakan pemerintah #VaksinasiNasional,1
"Direktur Jenderal WHO, Tedros Adhanom Ghebreyesus, mengapresiasi Indonesia terkait upaya penanganan pandemi Covid-19 #VaksinasiNasional",1
"Ini Dia, 10 Pekerjaan Paling Tidak Terkena Dampak Covid 19  #ForumKaskus via @KASKUS Eh...tahu ga sih, ada juga #pekerjaan yang tidak terkena dampak #Covid_19 ini. Pekerjaan apa saja ya?? #indonesiadermawan #VaksinasiNasional #sehat #sembuh",0
"Mari peduli sesama, jangan egois, dukungi protokol kesehatan dan dukung vaksinasi untuk memerangi Covid B117! #VaksinasiNasional #TetapDirumahAja #Vaksinasi #mutasibaru #Waspada Jangan Mudik",1
Abis divaksin lengan gua pegel #vaksin #VaksinasiNasional #COVID19,0
Kebagian Vaksinasi di kantor BPS tahap pertama hari Sabtu 20 Maret 2021.. Alhamdulillah bisa kumpul2 😀 #vaksincovid19 #VaksinasiNasional,1
Penting untuk diketahui impor beras semata2 dilakukan untuk menjaga satbilitas harga dan stok beras nasional #Jokowi #VaksinasiNasional,0
Jangan Persulit Vaksinasi Covid #VoxPopuli #Vaksin #VaksinasiNasional #Corona #coronavirus #COVID19 #COVIDー19 #COVID__19 #Covid_19 #COVID #RakyatMerdeka #RMid,1
Vaksinasi Pelaku Usaha Pariwisata Di Tangsel Baru Mencapai 30 persen -   #VaksinasiNasional #parawisata @humastangsel,0
"#SobatParekraf, Pagi ini Presiden Joko Widodo bertolak menuju Provinsi Bali dalam rangka kunjungan kerja. #WonderfulIndonesia #EkonomiKreatif #VaksinasiNasional #BangkitBersamaKemenparekraf",1
Kementerian Kesehatan RI mengungkapkan bahwa vaksinasi bisa dilakukan di bulan Ramadhan. Vaksinasi tidak membatalkan puasa dan dapat dilaksanakan pada malam hari. #Jakarta #VaksinasiNasional #Vaksin,1
"Disiplin prokes, 3T dan vaksinasi massal memerlukan dukungan seluruh komponen bangsa #VaksinasiNasional",1
"Soal efek samping vaksin AstraZeneca, pemerintah Indonesia masih menunggu informasi dari WHO sebelum memutuskan penggunaannya di Indonesia, begitu keterangan yang diberikan oleh Menkes Budi Sadikin. . @jokowi @KemenkesRI @KemenBUMN . #VaksinasiNasional",1
7000 Pendidik Kemenag Jombang Divaksinasi Jelang Belajar Tatap Muka  #KemenagJombang #Kemenag #Jombang #JawaTimur #Jurnaljatim #Beritaonline #BeritaTerkini #VaksinasiNasional #Madrasah #Gurumadrasah #tenagapendidik #belajartatapmuka #PTM,1
"Top News Koran Rakyat Merdeka Halal Haram Jangan Diributin Lagi Nih, Pengurus MUI Sudah Divaksin Pake AstraZeneca @Kiyai_MarufAmin #Vaksin #MUI #Vaksinasi #VaksinasiNasional #Corona #coronavirus #COVID19 #Covid_19 #COVID #RakyatMerdeka #RMid",1
Bah.. Ini gimana sih #COVIDSecondWave #coronavirus #VaksinUntukKita #VaksinasiNasional #Korona,0
