,tweet,label,casefolding,cleaning,tokenization,tokens_freqdist,stopword_removal,converting,stemming
10,Sasaran vaksin untuk Lansia #VaksinasiNasional #dokkesPolri,1,sasaran vaksin untuk lansia #vaksinasinasional #dokkespolri,sasaran vaksin untuk lansia vaksinasinasional dokkespolri,"['sasaran', 'vaksin', 'untuk', 'lansia', 'vaksinasinasional', 'dokkespolri']",<FreqDist with 6 samples and 6 outcomes>,"['sasaran', 'vaksin', 'lansia', 'vaksinasinasional', 'dokkespolri']","['sasaran', 'vaksin', 'lansia', 'vaksinasinasional', 'dokkespolri']","['sasar', 'vaksin', 'lansia', 'vaksinasinasional', 'dokkespolri']"
11,Diperlukan sanksi yang tegas agar meningkatkan kepatuhan masyarakat dalam menerapkan protokol kesehatan. #VaksinasiNasional,1,diperlukan sanksi yang tegas agar meningkatkan kepatuhan masyarakat dalam menerapkan protokol kesehatan. #vaksinasinasional,diperlukan sanksi yang tegas agar meningkatkan kepatuhan masyarakat dalam menerapkan protokol kesehatan vaksinasinasional,"['diperlukan', 'sanksi', 'yang', 'tegas', 'agar', 'meningkatkan', 'kepatuhan', 'masyarakat', 'dalam', 'menerapkan', 'protokol', 'kesehatan', 'vaksinasinasional']",<FreqDist with 13 samples and 13 outcomes>,"['sanksi', 'meningkatkan', 'kepatuhan', 'masyarakat', 'menerapkan', 'protokol', 'kesehatan', 'vaksinasinasional']","['sanksi', 'meningkatkan', 'kepatuhan', 'masyarakat', 'menerapkan', 'protokol', 'kesehatan', 'vaksinasinasional']","['sanksi', 'tingkat', 'patuh', 'masyarakat', 'terap', 'protokol', 'sehat', 'vaksinasinasional']"
12,"#Ritam98 🇮🇩 Tentang #Vaksinasi #Vaksin #Covid19 #VaksinasiNasional di #Indonesia  RT @tirta_hudhi: Stelah vaksin nusantara terhambat, mulai ada issue menyalahkan @PBIDI Padahal fyi 1. Idi organisasi profesi, tidak bisa intervensi penelitian 2. Yang bisa dilakukan idi, adalah mencabut lisensi (itu juga ada sidangnya MKEK) 3. Yg menentukn vaksin , obat beredar adalah BPOM",0,"#ritam98 🇮🇩 tentang #vaksinasi #vaksin #covid19 #vaksinasinasional di #indonesia  rt @tirta_hudhi: stelah vaksin nusantara terhambat, mulai ada issue menyalahkan @pbidi padahal fyi 1. idi organisasi profesi, tidak bisa intervensi penelitian 2. yang bisa dilakukan idi, adalah mencabut lisensi (itu juga ada sidangnya mkek) 3. yg menentukn vaksin , obat beredar adalah bpom",ritam  tentang vaksinasi vaksin covid vaksinasinasional di indonesia rt hudhi stelah vaksin nusantara terhambat mulai ada issue menyalahkan padahal fyi  idi organisasi profesi tidak bisa intervensi penelitian  yang bisa dilakukan idi adalah mencabut lisensi itu juga ada sidangnya mkek  yg menentukn vaksin  obat beredar adalah bpom,"['ritam', 'tentang', 'vaksinasi', 'vaksin', 'covid', 'vaksinasinasional', 'di', 'indonesia', 'rt', 'hudhi', 'stelah', 'vaksin', 'nusantara', 'terhambat', 'mulai', 'ada', 'issue', 'menyalahkan', 'padahal', 'fyi', 'idi', 'organisasi', 'profesi', 'tidak', 'bisa', 'intervensi', 'penelitian', 'yang', 'bisa', 'dilakukan', 'idi', 'adalah', 'mencabut', 'lisensi', 'itu', 'juga', 'ada', 'sidangnya', 'mkek', 'yg', 'menentukn', 'vaksin', 'obat', 'beredar', 'adalah', 'bpom']",<FreqDist with 40 samples and 46 outcomes>,"['ritam', 'vaksinasi', 'vaksin', 'covid', 'vaksinasinasional', 'indonesia', 'hudhi', 'stelah', 'vaksin', 'nusantara', 'terhambat', 'issue', 'menyalahkan', 'fyi', 'idi', 'organisasi', 'profesi', 'intervensi', 'penelitian', 'idi', 'mencabut', 'lisensi', 'sidangnya', 'mkek', 'menentukn', 'vaksin', 'obat', 'beredar', 'bpom']","['ritam', 'vaksinasi', 'vaksin', 'covid', 'vaksinasinasional', 'indonesia', 'hudhi', 'setelah', 'vaksin', 'nusantara', 'terhambat', 'isu', 'menyalahkan', 'informasi', 'idi', 'organisasi', 'profesi', 'intervensi', 'penelitian', 'idi', 'mencabut', 'lisensi', 'sidangnya', 'mkek', 'menentukan', 'vaksin', 'obat', 'beredar', 'bpom']","['ritam', 'vaksinasi', 'vaksin', 'covid', 'vaksinasinasional', 'indonesia', 'hudhi', 'telah', 'vaksin', 'nusantara', 'hambat', 'isu', 'salah', 'informasi', 'idi', 'organisasi', 'profesi', 'intervensi', 'teliti', 'idi', 'cabut', 'lisensi', 'sidang', 'mkek', 'tentu', 'vaksin', 'obat', 'edar', 'bpom']"
13,"Tahniah kepada batch pertama Program Vaksinasi AZ, terima kasih kerana cukup berani untuk memberi inspirasi kepada masyarakat. #VaksinasiNasional #AstraZeneca",1,"tahniah kepada batch pertama program vaksinasi az, terima kasih kerana cukup berani untuk memberi inspirasi kepada masyarakat. #vaksinasinasional #astrazeneca",tahniah kepada batch pertama program vaksinasi az terima kasih kerana cukup berani untuk memberi inspirasi kepada masyarakat vaksinasinasional astrazeneca,"['tahniah', 'kepada', 'batch', 'pertama', 'program', 'vaksinasi', 'az', 'terima', 'kasih', 'kerana', 'cukup', 'berani', 'untuk', 'memberi', 'inspirasi', 'kepada', 'masyarakat', 'vaksinasinasional', 'astrazeneca']",<FreqDist with 18 samples and 19 outcomes>,"['tahniah', 'batch', 'program', 'vaksinasi', 'az', 'terima', 'kasih', 'kerana', 'berani', 'inspirasi', 'masyarakat', 'vaksinasinasional', 'astrazeneca']","['selamat', 'kelompok', 'program', 'vaksinasi', 'az', 'terima', 'kasih', 'karena', 'berani', 'inspirasi', 'masyarakat', 'vaksinasinasional', 'astrazeneca']","['selamat', 'kelompok', 'program', 'vaksinasi', 'az', 'terima', 'kasih', 'karena', 'berani', 'inspirasi', 'masyarakat', 'vaksinasinasional', 'astrazeneca']"
14,Sukseskan #VaksinasiNasional,1,sukseskan #vaksinasinasional,sukseskan vaksinasinasional,"['sukseskan', 'vaksinasinasional']",<FreqDist with 2 samples and 2 outcomes>,"['sukseskan', 'vaksinasinasional']","['sukseskan', 'vaksinasinasional']","['sukses', 'vaksinasinasional']"
15,"Ramai-ramai Disuntik Vaksin Nusantara Charles Honoris: Tak Ada Kesepakatan Kolektif Di Komisi IX, Itu Maunya Sendiri-sendiri @DPR_RI #Vaksin #VaksinasiNasional #Vaksinasi #DPR #Corona #coronavirus #COVID19 #Covid_19 #COVID #RakyatMerdeka #RMid",0,"ramai-ramai disuntik vaksin nusantara charles honoris: tak ada kesepakatan kolektif di komisi ix, itu maunya sendiri-sendiri @dpr_ri #vaksin #vaksinasinasional #vaksinasi #dpr #corona #coronavirus #covid19 #covid_19 #covid #rakyatmerdeka #rmid",ramairamai disuntik vaksin nusantara charles honoris tak ada kesepakatan kolektif di komisi ix itu maunya sendirisendiri ri vaksin vaksinasinasional vaksinasi dpr corona coronavirus covid covid covid rakyatmerdeka rmid,"['ramairamai', 'disuntik', 'vaksin', 'nusantara', 'charles', 'honoris', 'tak', 'ada', 'kesepakatan', 'kolektif', 'di', 'komisi', 'ix', 'itu', 'maunya', 'sendirisendiri', 'ri', 'vaksin', 'vaksinasinasional', 'vaksinasi', 'dpr', 'corona', 'coronavirus', 'covid', 'covid', 'covid', 'rakyatmerdeka', 'rmid']",<FreqDist with 25 samples and 28 outcomes>,"['ramairamai', 'disuntik', 'vaksin', 'nusantara', 'charles', 'honoris', 'kesepakatan', 'kolektif', 'komisi', 'ix', 'maunya', 'sendirisendiri', 'ri', 'vaksin', 'vaksinasinasional', 'vaksinasi', 'dpr', 'corona', 'coronavirus', 'covid', 'covid', 'covid', 'rakyatmerdeka', 'rmid']","['ramai', 'disuntik', 'vaksin', 'nusantara', 'charles', 'honoris', 'kesepakatan', 'kolektif', 'komisi', 'ix', 'maunya', 'sendiri', 'indonesia', 'vaksin', 'vaksinasinasional', 'vaksinasi', 'dpr', 'corona', 'coronavirus', 'covid', 'covid', 'covid', 'rakyatmerdeka', 'rmid']","['ramai', 'suntik', 'vaksin', 'nusantara', 'charles', 'honor', 'sepakat', 'kolektif', 'komisi', 'ix', 'mau', 'sendiri', 'indonesia', 'vaksin', 'vaksinasinasional', 'vaksinasi', 'dpr', 'corona', 'coronavirus', 'covid', 'covid', 'covid', 'rakyatmerdeka', 'rmid']"
16,Dukung program vaksinasi nasional untuk mempercepat tercapainya herd immunity #VaksinasiNasional,1,dukung program vaksinasi nasional untuk mempercepat tercapainya herd immunity #vaksinasinasional,dukung program vaksinasi nasional untuk mempercepat tercapainya herd immunity vaksinasinasional,"['dukung', 'program', 'vaksinasi', 'nasional', 'untuk', 'mempercepat', 'tercapainya', 'herd', 'immunity', 'vaksinasinasional']",<FreqDist with 10 samples and 10 outcomes>,"['dukung', 'program', 'vaksinasi', 'nasional', 'mempercepat', 'tercapainya', 'herd', 'immunity', 'vaksinasinasional']","['dukung', 'program', 'vaksinasi', 'nasional', 'mempercepat', 'tercapainya', 'kelompok', 'kekebalan', 'vaksinasinasional']","['dukung', 'program', 'vaksinasi', 'nasional', 'cepat', 'capa', 'kelompok', 'kebal', 'vaksinasinasional']"
17,3 langkah persiapan Vaksinasi Covid-19 #VaksinasiNasional #VaksinUntukIndonesia,1,3 langkah persiapan vaksinasi covid-19 #vaksinasinasional #vaksinuntukindonesia, langkah persiapan vaksinasi covid vaksinasinasional vaksinuntukindonesia,"['langkah', 'persiapan', 'vaksinasi', 'covid', 'vaksinasinasional', 'vaksinuntukindonesia']",<FreqDist with 6 samples and 6 outcomes>,"['langkah', 'persiapan', 'vaksinasi', 'covid', 'vaksinasinasional', 'vaksinuntukindonesia']","['langkah', 'persiapan', 'vaksinasi', 'covid', 'vaksinasinasional', 'vaksinuntukindonesia']","['langkah', 'siap', 'vaksinasi', 'covid', 'vaksinasinasional', 'vaksinuntukindonesia']"
18,Sinergi Indonesia Kuat #VaksinasiNasional #vaksinuntuksemuabangsa,1,sinergi indonesia kuat #vaksinasinasional #vaksinuntuksemuabangsa,sinergi indonesia kuat vaksinasinasional vaksinuntuksemuabangsa,"['sinergi', 'indonesia', 'kuat', 'vaksinasinasional', 'vaksinuntuksemuabangsa']",<FreqDist with 5 samples and 5 outcomes>,"['sinergi', 'indonesia', 'kuat', 'vaksinasinasional', 'vaksinuntuksemuabangsa']","['sinergi', 'indonesia', 'kuat', 'vaksinasinasional', 'vaksinuntuksemuabangsa']","['sinergi', 'indonesia', 'kuat', 'vaksinasinasional', 'vaksinuntuksemuabangsa']"
19,Vaksinasi Covid 19 untuk Masyarakat #VaksinasiNasional @jokowi @halimiskandarnu,1,vaksinasi covid 19 untuk masyarakat #vaksinasinasional @jokowi @halimiskandarnu,vaksinasi covid  untuk masyarakat vaksinasinasional,"['vaksinasi', 'covid', 'untuk', 'masyarakat', 'vaksinasinasional']",<FreqDist with 5 samples and 5 outcomes>,"['vaksinasi', 'covid', 'masyarakat', 'vaksinasinasional']","['vaksinasi', 'covid', 'masyarakat', 'vaksinasinasional']","['vaksinasi', 'covid', 'masyarakat', 'vaksinasinasional']"
20,#Ritam98 🇮🇩 Tentang #Vaksinasi #Vaksin #Covid19 #VaksinasiNasional di #Indonesia  RT @cnbcindonesia: Saat DPR Tuding BPOM Main Politik Gara-gara Vaksin Terawan,0,#ritam98 🇮🇩 tentang #vaksinasi #vaksin #covid19 #vaksinasinasional di #indonesia  rt @cnbcindonesia: saat dpr tuding bpom main politik gara-gara vaksin terawan,ritam  tentang vaksinasi vaksin covid vaksinasinasional di indonesia rt  saat dpr tuding bpom main politik garagara vaksin terawan,"['ritam', 'tentang', 'vaksinasi', 'vaksin', 'covid', 'vaksinasinasional', 'di', 'indonesia', 'rt', 'saat', 'dpr', 'tuding', 'bpom', 'main', 'politik', 'garagara', 'vaksin', 'terawan']",<FreqDist with 17 samples and 18 outcomes>,"['ritam', 'vaksinasi', 'vaksin', 'covid', 'vaksinasinasional', 'indonesia', 'dpr', 'tuding', 'bpom', 'main', 'politik', 'garagara', 'vaksin', 'terawan']","['ritam', 'vaksinasi', 'vaksin', 'covid', 'vaksinasinasional', 'indonesia', 'dpr', 'tuding', 'bpom', 'main', 'politik', 'gara', 'vaksin', 'terawan']","['ritam', 'vaksinasi', 'vaksin', 'covid', 'vaksinasinasional', 'indonesia', 'dpr', 'tuding', 'bpom', 'main', 'politik', 'gara', 'vaksin', 'awan']"
21,stop corona dari sekarang! patuhi prokes dukung program vaksin #VaksinasiNasional #TetapDirumahAja #Vaksinasi #mutasibaru #Waspada Jangan Mudik,1,stop corona dari sekarang! patuhi prokes dukung program vaksin #vaksinasinasional #tetapdirumahaja #vaksinasi #mutasibaru #waspada jangan mudik,stop corona dari sekarang patuhi prokes dukung program vaksin vaksinasinasional tetapdirumahaja vaksinasi mutasibaru waspada jangan mudik,"['stop', 'corona', 'dari', 'sekarang', 'patuhi', 'prokes', 'dukung', 'program', 'vaksin', 'vaksinasinasional', 'tetapdirumahaja', 'vaksinasi', 'mutasibaru', 'waspada', 'jangan', 'mudik']",<FreqDist with 16 samples and 16 outcomes>,"['stop', 'corona', 'patuhi', 'prokes', 'dukung', 'program', 'vaksin', 'vaksinasinasional', 'tetapdirumahaja', 'vaksinasi', 'mutasibaru', 'waspada', 'mudik']","['stop', 'corona', 'patuhi', 'prokes', 'dukung', 'program', 'vaksin', 'vaksinasinasional', 'tetapdirumahaja', 'vaksinasi', 'mutasibaru', 'waspada', 'mudik']","['stop', 'corona', 'patuh', 'prokes', 'dukung', 'program', 'vaksin', 'vaksinasinasional', 'tetapdirumahaja', 'vaksinasi', 'mutasibaru', 'waspada', 'mudik']"
22,Belum Semua Guru Disuntik Vaksin Jelang Uji Coba PTM Purbalingga #VaksinasiNasional #guru #infopurbalingga #purbalingga @lensapurbaling1 @infopurbalingga @banteng_pbg @Bupati_PBG @LensPurbalingga @ZONAPurbalingga @PbgTeropong @purballingga @Relasi_PBG,0,belum semua guru disuntik vaksin jelang uji coba ptm purbalingga #vaksinasinasional #guru #infopurbalingga #purbalingga @lensapurbaling1 @infopurbalingga @banteng_pbg @bupati_pbg @lenspurbalingga @zonapurbalingga @pbgteropong @purballingga @relasi_pbg,belum semua guru disuntik vaksin jelang uji coba ptm purbalingga vaksinasinasional guru infopurbalingga purbalingga pbg pbg pbg,"['belum', 'semua', 'guru', 'disuntik', 'vaksin', 'jelang', 'uji', 'coba', 'ptm', 'purbalingga', 'vaksinasinasional', 'guru', 'infopurbalingga', 'purbalingga', 'pbg', 'pbg', 'pbg']",<FreqDist with 13 samples and 17 outcomes>,"['guru', 'disuntik', 'vaksin', 'jelang', 'uji', 'coba', 'ptm', 'purbalingga', 'vaksinasinasional', 'guru', 'infopurbalingga', 'purbalingga']","['guru', 'disuntik', 'vaksin', 'jelang', 'uji', 'coba', 'ptm', 'purbalingga', 'vaksinasinasional', 'guru', 'infopurbalingga', 'purbalingga']","['guru', 'suntik', 'vaksin', 'jelang', 'uji', 'coba', 'ptm', 'purbalingga', 'vaksinasinasional', 'guru', 'infopurbalingga', 'purbalingga']"
23,Vaksin Sinovac terbukti efektif menurut para ahli di Australia #VaksinasiNasional #vaksinsuksesakhiripandemi #vaksindemipulihkannkri,1,vaksin sinovac terbukti efektif menurut para ahli di australia #vaksinasinasional #vaksinsuksesakhiripandemi #vaksindemipulihkannkri,vaksin sinovac terbukti efektif menurut para ahli di australia vaksinasinasional vaksinsuksesakhiripandemi vaksindemipulihkannkri,"['vaksin', 'sinovac', 'terbukti', 'efektif', 'menurut', 'para', 'ahli', 'di', 'australia', 'vaksinasinasional', 'vaksinsuksesakhiripandemi', 'vaksindemipulihkannkri']",<FreqDist with 12 samples and 12 outcomes>,"['vaksin', 'sinovac', 'terbukti', 'efektif', 'ahli', 'australia', 'vaksinasinasional', 'vaksinsuksesakhiripandemi', 'vaksindemipulihkannkri']","['vaksin', 'sinovac', 'terbukti', 'efektif', 'ahli', 'australia', 'vaksinasinasional', 'vaksinsuksesakhiripandemi', 'vaksindemipulihkannkri']","['vaksin', 'sinovac', 'bukti', 'efektif', 'ahli', 'australia', 'vaksinasinasional', 'vaksinsuksesakhiripandemi', 'vaksindemipulihkannkri']"
