label,tweet
1,"['vaksin', 'vaksinasinasional', 'vaksinuntukkita', 'vaksinasi', 'vaksin', 'vaksincovid', 'virus', 'corona', 'coronavirusindia', 'covid', 'covid', 'covidvaccine', 'covidab', 'sehat', 'pandemic', 'daring', 'online', 'onlineclasses', 'puasa', 'ramadhan', 'ramadanmubarak', 'jakarta']"
1,"['mari', 'dukung', 'upaya', 'keras', 'tenaga', 'sehat', 'perintah', 'siang', 'malam', 'laksana', 'vaksinasinasional']"
1,"['koran', 'rakyat', 'merdeka', 'dukung', 'vaksin', 'awan', 'ical', 'cs', 'dengerin', 'bpom', 'indonesia', 'indonesia', 'vaksin', 'vaksinnusantara', 'awan', 'vaksinasi', 'vaksinasinasional', 'dpr', 'bpom', 'governmentaction', 'corona', 'coronavirus', 'covid', 'rakyatmerdeka', 'rmid']"
0,"['berfikir', 'sempit', 'impor', 'beras', 'beum', 'paham', 'kondisi', 'lapang', 'jokowi', 'vaksinasinasional', 'translate', 'tweet']"
1,"['ribu', 'pegawai', 'kai', 'ikut', 'program', 'vaksinasi', 'bumn', 'vaksin', 'vaksinasi', 'vaksinasinasional', 'bumn', 'corona', 'coronavirus', 'covid', 'covid', 'covid', 'covid', 'covid', 'rakyatmerdeka', 'rmid']"
0,"['teroris', 'bekas', 'condet', 'isis', 'fpi', 'vaksinasinasional', 'makassar', 'jad', 'organisasi', 'teroris', 'afiliasi', 'isis', 'sah', 'beku', 'adil']"
1,"['warga', 'dki', 'jakarta', 'usia', 'tahun', 'silah', 'daftar', 'ikut', 'vaksinasi', 'program', 'pungut', 'biaya', 'buka', 'umum', 'vaksinasinasional', 'vaksincovid']"
1,"['sukses', 'program', 'perintah', 'tugas', 'rutan', 'tanjung', 'redeb', 'laksana', 'vaksinasi', 'putus', 'sebar', 'covid', 'kaltim', 'pas', 'indonesia', 'vaksincovid', 'vaksinasinasional', 'vaksinuntuksemuabangsa', 'kumhampasti']"
0,"['dosis', 'vaksin', 'gotong', 'royong', 'distribusi', 'vaksinasi', 'prokes', 'jalan', 'airlangga', 'pede', 'ekonomi', 'indonesia', 'rebound', 'tahun', 'vaksin', 'vaksincovid', 'vaksinasi', 'vaksinasinasional', 'rakyatmerdeka', 'rmid']"
1,"['hukum', 'suntik', 'vaksin', 'covid', 'puasa', 'puasa', 'vaksinasinasional', 'covid']"
0,"['saptaselectnews', 'konsumsi', 'oksigen', 'indonesia', 'vs', 'cakup', 'vaksinasinasional', 'febmei', 'indonesia', 'zona', 'aman', 'pasok', 'oksigen', 'medis', 'sumber']"
0,"['vaksinasinasional', 'cepat', 'luas', 'nadiem', 'sekolah', 'tatap', 'muka', 'juli', 'indonesia', 'vaksinasicovid', 'tim', 'fadli', 'zon', 'tim', 'nadiem', 'cm']"
0,"['ragu', 'vaksin', 'mati', 'vaksin', 'vaksinasi', 'vaksinasinasional']"
0,"['bahasa', 'vaksin', 'palsu', 'vaksinasi', 'vaksinasinasional']"
1,"['alhamdulillahtenaga', 'didik', 'ajar', 'tatap', 'muka', 'vaksinasi', 'vaksinasinasional']"
0,"['waspada', 'anjing', 'temu', 'varian', 'virus', 'corona', 'anjing', 'serang', 'anak', 'malaysia', 'varian', 'virus', 'corona', 'anjing', 'malaysia', 'serang', 'anak', 'muda', 'virus', 'coronavirus', 'viruscorona', 'covid', 'covidindia', 'vaksinasinasional']"
1,"['lindung', 'papar', 'covid', 'aktivitas', 'harap', 'presiden', 'indonesia', 'joko', 'widodo', 'saksi', 'proses', 'vaksinasi', 'beramahtamah', 'jokowi', 'vaksinasinasional', 'vaksinuntukkita']"
0,"['ritam', 'vaksinasi', 'vaksin', 'covid', 'vaksinasinasional', 'indonesia', 'rocky', 'gerung', 'vaksin', 'nusantara', 'vaksin', 'oposisi']"
0,"['ritam', 'vaksinasi', 'vaksin', 'covid', 'vaksinasinasional', 'indonesia', 'dpr', 'tuding', 'bpom', 'main', 'politik', 'gara', 'vaksin', 'awan']"
0,"['vaksinasi', 'gotong', 'royong', 'rp', 'profil', 'jenis', 'vaksin', 'covid', 'perintah', 'vaksinasinasional', 'vaksinasi', 'gotongroyongsemuatertolong', 'covid']"
1,"['moga', 'baik', 'vaksinasi', 'vaksinasinasional', 'covid']"
1,"['vaksinasi', 'gotong', 'royong', 'biaya', 'tanggung', 'usaha', 'potong', 'gaji', 'karyawan', 'terima', 'vaksin', 'covidvaccine', 'coronavirus', 'vaksinasinasional', 'vaksingotongroyongpekerja']"
1,"['vaksin', 'indonesia', 'harap', 'pulih', 'ancam', 'covid', 'cepat', 'menyebartetap', 'waspada', 'vaksinasinasional', 'tetapdirumahaja', 'vaksinasi', 'mutasibaru', 'waspada', 'mudik']"
1,"['vaksinasi', 'vaksinasinasional', 'covid']"
1,"['keren', 'bumn', 'sentra', 'vaksinasi', 'senayan', 'vaksinasinasional', 'bumnuntuknegeri']"
0,"['vaksinasi', 'indonesia', 'pakai', 'produk', 'asing', 'siti', 'fadilah', 'aneh', 'vaksinasinasional']"
1,"['buah', 'kerjasama', 'multilateral', 'indonesia', 'juta', 'dosis', 'vaksin', 'astrazeneca', 'tanah', 'air', 'perintah', 'vaksin', 'covid', 'perlu', 'laksana', 'vaksinasi', 'masyarakat', 'indonesia', 'vaksinasinasional', 'vaksinpulihkannkri']"
1,"['info', 'baru', 'baharu', 'vaksinasi', 'covid', 'tanggal', 'april', 'total', 'sasar', 'vaksinasi', 'covid', 'duduk', 'indonesia', 'duduk', 'vaksin', 'tahap', 'vaksinasinasional']"
0,"['perintah', 'izin', 'mudik', 'lebaran', 'alas', 'program', 'vaksinasi', 'mardani', 'ali', 'sera', 'bijak', 'ceroboh', 'mudik', 'lebaran', 'vaksinasinasional']"
1,"['sasar', 'vaksin', 'lansia', 'vaksinasinasional', 'dokkespolri']"
1,"['ayo', 'vaksin', 'normal', 'indonesia', 'vaksinasinasional']"
1,"['dukung', 'program', 'vaksinasi', 'cepat', 'tangan', 'covid', 'vaksinasinasional']"
1,"['jaga', 'jaga', 'keluarga', 'vaksin', 'covid', 'vaksinasinasional']"
0,"['abis', 'vaksin', 'lengan', 'aku', 'gel', 'vaksin', 'vaksinasinasional', 'covid']"
1,"['mari', 'patuh', 'protokol', 'sehat', 'lupa', 'terap', 'vaksinasinasional']"
1,"['indonesia', 'bangkit', 'vaksin', 'lawan', 'covid', 'vaksinasinasional', 'tetapdirumahaja', 'vaksinasi', 'mutasibaru', 'waspada', 'mudik']"
1,"['aparat', 'tni', 'turun', 'aman', 'laksana', 'ibadah', 'paskah', 'koremwirasatya', 'tniad', 'kodamixudayana', 'puspentni', 'penremwirasatya', 'pendamixudayana', 'puspenad', 'humasbangli', 'infobali', 'mt', 'cucitangan', 'pakaimasker', 'jagajarak', 'bersamalawancorona', 'vaksinasinasional']"
1,"['tunggu', 'ayo', 'vaksin', 'vaksinasinasional']"
0,"['liat', 'lagi', 'vaksin', 'banget', 'buka', 'ponsel', 'selfiengeshoot', 'video', 'mah', 'boro', 'buka', 'ponsel', 'buka', 'liat', 'jarum', 'aja', 'tidak', 'vaksinasinasional', 'vaksinmembawadampakbaik']"
1,"['keren', 'sudah', 'ribu', 'lansia', 'vaksinasi', 'sentra', 'vaksin', 'vaksinasinasional', 'bumnuntuknegeri', 'indonesiakita']"
1,"['lansia', 'butuh', 'waktu', 'bentuk', 'anti', 'body', 'banding', 'usia', 'produktif', 'lansia', 'rentang', 'waktu', 'vaksinasi', 'dosis', 'vaksinasinasional']"
0,"['regulator', 'obat', 'uni', 'eropa', 'ema', 'temu', 'hubung', 'vaksin', 'covid', 'astrazeneca', 'beku', 'darah', 'vaksin', 'vaksincovid', 'vaksinasinasional', 'covid', 'berita', 'beritaterkini', 'tvri', 'tvrinews']"
1,"['vaksinasi', 'bentuk', 'peduli', 'manusia', 'mrai', 'dukung', 'kurang', 'angka', 'covid', 'negara', 'kitatetap', 'waspada', 'vaksinasinasional', 'tetapdirumahaja', 'vaksinasi', 'mutasibaru', 'waspada', 'mudik']"
0,"['gokil', 'dtg', 'jam', 'pagi', 'antri', 'jam', 'kelar', 'jam', 'tengah', 'sore', 'vaksinasinasional']"
1,"['posisi', 'jokowi', 'jelas', 'teu', 'tuju', 'usul', 'masa', 'jabat', 'presiden', 'periode', 'indonesiamaju', 'vaksinasinasional']"
1,"['rekanasn', 'sahabat', 'muda', 'pegawai', 'menteri', 'panrb', 'vaksinasi', 'tahap', 'yuk', 'sukseskanvaksinasi', 'vaksin', 'disiplin', 'terap', 'kemenpanrb', 'vaksinasinasional', 'vaksinaman']"
1,"['lpbi', 'nu', 'nganjuk', 'partisipasi', 'giat', 'vaksinasi', 'warga', 'nu', 'nganjuk', 'kantor', 'pcnu', 'kabupaten', 'nganjuk', 'nupedulicovid', 'tetapwaspadacorona', 'pakaimasker', 'vaksinasinasional']"
1,"['vaksinasi', 'lancar', 'prokes', 'vaksinasinasional']"
1,"['taat', 'takut', 'warga', 'negara', 'taat', 'atur', 'semua', 'adalah', 'baik', 'vaksinasinasional']"
0,"['ritam', 'vaksinasi', 'vaksin', 'covid', 'vaksinasinasional', 'indonesia', 'teliti', 'vaksin', 'wajib', 'prosedur', 'kaidah', 'ilmiah', 'klaim', 'dasar', 'ilmiah', 'stop', 'politisasi', 'vaksin', 'nusantara', 'dukungbpom']"
1,"['vaksinasinasional', 'vaksincovid', 'vaksinasi', 'tahap', 'pegawaikaryawan', 'bpbaps', 'kabsitubondo', 'soebjakto']"
1,"['pandemi', 'virus', 'corona', 'bawa', 'manusia', 'gera', 'manusia', 'mudik', 'potensi', 'tambah', 'sebar', 'virus', 'ayo', 'lawan', 'covid', 'protokol', 'sehat', 'vaksinasinasional']"
1,"['vaksinasi', 'nakes', 'bukti', 'turun', 'tingkat', 'infeksi', 'provinsi', 'vaksinasinasional']"
1,"['disiplin', 'protokol', 'sehat', 'vaksinasinasional']"
1,"['presiden', 'giat', 'vaksinasi', 'jalan', 'daerahdaerah', 'vaksinuntuksemua', 'vaksinuntuklansia', 'vaksinasipelayanpublik', 'covid', 'vaksinhalal', 'vaksin', 'vaksinasinasional']"
1,"['kolaborasi', 'bumn', 'pemda', 'dki', 'kemenkes', 'cepat', 'vaksinasi', 'vaksinasinasional', 'bumnuntuknegeri']"
0,"['impor', 'tambah', 'stok', 'suplai', 'dukung', 'jokowi', 'vaksinasinasional']"
1,"['ritam', 'vaksinasi', 'vaksin', 'covid', 'vaksinasinasional', 'indonesia', 'video', 'siti', 'fadilah', 'buka', 'suara', 'vaksin', 'nusantara', 'vlix']"
0,"['astrazeneca', 'stop', 'kanada', 'wanita', 'muda', 'dampak', 'buruk', 'vaksin', 'darah', 'beku', 'lusin', 'negara', 'eropa', 'kanada', 'stop', 'vaksin', 'astrazeneca', 'astrazeneca', 'kanada', 'vaksincovid', 'vaksinasinasional']"
1,"['mari', 'peduli', 'egois', 'dukung', 'protokol', 'sehat', 'dukung', 'vaksinasi', 'rang', 'covid', 'vaksinasinasional', 'tetapdirumahaja', 'vaksinasi', 'mutasibaru', 'waspada', 'mudik']"
1,"['tinggal', 'daftar', 'kamu', 'vaksin', 'sentra', 'vaksin', 'bumn', 'keren', 'vaksinasinasional', 'bumnuntuknegeri', 'indonesiakita']"
1,"['sulit', 'vaksinasi', 'covid', 'voxpopuli', 'vaksin', 'vaksinasinasional', 'corona', 'coronavirus', 'covid', 'covid', 'covid', 'covid', 'covid', 'rakyatmerdeka', 'rmid']"
1,"['info', 'vaksinasicovid', 'indonesia', 'vaksinasinasional', 'vaksinasi', 'vaksinasiberdampakbaik', 'vaksinasinyamanbumn', 'vaksinasiwartawan', 'vaksin', 'vaksinasinasional', 'vaksinuntukkita', 'vaksincovid', 'vaksinuntukrakyatindonesia', 'vaksinpulihkannegeri', 'sinovac']"
0,"['takut', 'monster', 'vaksinasinasional', 'vaksin']"
1,"['indonesia', 'sehat', 'bebas', 'covid', 'yuk', 'optimis', 'dukung', 'program', 'vaksinasi', 'lawan', 'covid', 'jenis', 'vaksinasinasional', 'tetapdirumahaja', 'vaksinasi', 'mutasibaru', 'waspada', 'mudik']"
1,"['indonesia', 'aju', 'usul', 'pusat', 'vaksin', 'asia', 'tenggara', 'konteks', 'kerjasama', 'vaksin', 'jangka', 'vaksinasinasional']"
1,"['sanksi', 'tingkat', 'patuh', 'masyarakat', 'terap', 'protokol', 'sehat', 'vaksinasinasional']"
1,"['vaksin', 'vaksincovid', 'vaksinasinasional']"
0,"['habis', 'vaksin', 'coronavak', 'efek', 'antuk', 'sekarang', 'serasa', 'demam', 'vaksinasinasional', 'langkahbaikdeminegeri', 'makinbanggabuatanindonesia', 'liburanhindarikerumunan', 'hariberbaginasional', 'ikatancintaep']"
1,"['stop', 'corona', 'patuh', 'prokes', 'dukung', 'program', 'vaksin', 'vaksinasinasional', 'tetapdirumahaja', 'vaksinasi', 'mutasibaru', 'waspada', 'mudik']"
0,"['ritam', 'vaksinasi', 'vaksin', 'covid', 'vaksinasinasional', 'indonesia', 'idi', 'sibuk', 'salah', 'lemah', 'sistem', 'sehat', 'indonesia', 'kurang', 'pasien', 'indonesia', 'introspeksi', 'sibuk', 'urusin', 'awan', 'melulu']"
1,"['ramadhan', 'vaksinasi', 'jalan', 'ramadhan', 'vaksinasinasional', 'sinovac', 'mojokerto']"
0,"['tuju', 'impor', 'sematamata', 'cukup', 'stok', 'pangan', 'nasional', 'stabil', 'harga', 'jokowi', 'vaksinasinasional']"
1,"['koran', 'rakyat', 'merdeka', 'vaksin', 'covid', 'warga', 'indonesia', 'sandang', 'disabilitas', 'layak', 'tara', 'vaksinasi', 'vaksinasi', 'vaksin', 'vaksinasinasional', 'nasional', 'corona', 'coronavirus', 'covid', 'covid', 'covid', 'rakyatmerdeka', 'rmid']"
1,"['ayo', 'mari', 'vaksin', 'keluarga', 'putus', 'rantai', 'sebar', 'covid', 'vaksinasinasional', 'vaksinselamatkanbangsa']"
1,"['vaksinasinasional', 'lansia', 'aman', 'efektif', 'cegah', 'sebar', 'virus', 'corona']"
1,"['banget', 'sentra', 'vaksin', 'luas', 'daerah', 'jakarta', 'tolong', 'yuk', 'bumn', 'lagi', 'vaksinasinasional', 'bumnuntuknegeri', 'indonesiakita']"
1,"['temanpemilih', 'rangka', 'ikut', 'program', 'perintah', 'sekretariat', 'jenderal', 'kpu', 'indonesia', 'gelar', 'vaksinasi', 'rencana', 'alur', 'kpumelayani', 'vaksinasinasional']"
1,"['bio', 'farma', 'datang', 'juta', 'dosis', 'sinopharm', 'vaksinasi', 'gotong', 'royong', 'rijal', 'vaksinasinasional', 'vaksinasinyamanbumn', 'suarapemerintah']"
1,"['disiplin', 'prokes', 'vaksinasi', 'massal', 'dukung', 'komponen', 'bangsa', 'vaksinasinasional']"
1,"['ketua', 'dmi', 'masjid', 'vaksinasi', 'covid', 'vaksinasinasional']"
1,"['langkah', 'siap', 'vaksinasi', 'covid', 'vaksinasinasional', 'vaksinuntukindonesia']"
0,"['impor', 'beras', 'perintah', 'butuh', 'rakyat', 'penuh', 'pandemi', 'jokowi', 'vaksinasinasional']"
1,"['bukti', 'aman', 'kandung', 'bahan', 'bahaya', 'vaksinasinasional']"
0,"['vaksin', 'kaya', 'rebut', 'sembako', 'cepat', 'vaksinasinasional']"
0,"['om', 'didu', 'om', 'didu', 'msih', 'tidak', 'brubah', 'perangai', 'om', 'msih', 'sadar', 'tabur', 'jaga', 'tuai', 'sekarang', 'keluar', 'lagi', 'kaya', 'gitu', 'ntar', 'om', 'sadar', 'om', 'sadar', 'tuham', 'tidak', 'suka', 'vaksinasinasional', 'didu', 'kemarin', 'kaum', 'belatung', 'nangka', 'muncul', 'tinggal', 'pitek']"
0,"['jokowi', 'truk', 'pinokio', 'download', 'aplikasi', 'baharu', 'berita', 'baru', 'dapat', 'android', 'jokowi', 'truk', 'pinokio', 'vaksinasinasional']"
0,"['kemaren', 'teriak', 'teriak', 'india', 'covid', 'lonjak', 'ini', 'baca', 'presiden', 'kominfo', 'umum', 'hoaks', 'covid', 'covid', 'vaksin', 'vaksincovid', 'vaksinasicovid', 'vaksinasinasional']"
0,"['ribut', 'vaksin', 'vaksinasinasional']"
1,"['vaksin', 'who', 'apresiasi', 'indonesia', 'vaksinuntukindonesia', 'vaksinasinasional']"
0,"['gin', 'gara', 'percaya', 'konspirasi', 'covid', 'indonesia', 'guru', 'vaksinasinasional', 'yogyakarta', 'vaksinasi', 'contoh', 'guru', 'kolom', 'komentar', 'pandemictalks', 'tolak', 'hadir', 'vaksinasi', 'aduh']"
0,"['jerat', 'picu', 'rizieq', 'shihab', 'anak', 'buah', 'akibat', 'ingkar', 'karantina', 'bugar', 'indonesiamaju', 'vaksinasinasional']"
0,"['teliti', 'vaksin', 'astrazeneca', 'sebab', 'trombosis', 'otak', 'langka', 'who', 'vaksinasinasional']"
1,"['gin', 'harga', 'vaksin', 'covid', 'inggris', 'murah', 'ketimbang', 'vaksin', 'sinovac', 'china', 'vaksin', 'vaksincovid', 'sinovac', 'astrazeneca', 'vaksinasinasional']"
1,"['who', 'apresiasi', 'perintah', 'indonesia', 'tangan', 'pandemi', 'corona', 'vaksinasinasional']"
1,"['sukses', 'vaksinasinasional']"
1,"['vaksinasi', 'covid', 'rni', 'target', 'produksi', 'juta', 'jarum', 'suntik', 'vaksinasinasional']"
1,"['jaga', 'tua', 'sebar', 'virus', 'vaksinasi', 'covid', 'vaksinasinasional']"
1,"['bagi', 'vaksinasi', 'kantor', 'bps', 'tahap', 'sabtu', 'maret', 'alhamdulillah', 'kumpul', 'vaksincovid', 'vaksinasinasional']"
1,"['mendagri', 'program', 'vaksin', 'harap', 'pulih', 'ekonomi', 'wisata', 'bal', 'ayovaksin', 'vaksinasinasional']"
0,"['akalakalan', 'hrs', 'hadir', 'sidang', 'kumpul', 'ikut', 'pandemi', 'pn', 'jaktim', 'jokowi', 'vaksinasinasional']"
1,"['program', 'vaksinasi', 'covid', 'kabupaten', 'bekas', 'jalan', 'suci', 'ramadhan', 'vaksinasinasional', 'vaksinasicovid', 'vaksinuntukkita', 'vaksinasi', 'vaksin', 'vaksinasicovidkabupatenbekasi', 'vaksinuntukindonesia', 'kabupatenbekasi', 'bekas']"
